	Labels
0	Background
1	Left Cerebral White Matter
2	Left Cerebral Cortex 
3	Left Lateral Ventrical
4	Left Left Thalamus
5	Right Left Thalamus
6	Left Caudate
7	Left Putamen
8	Left Pallidum
9	Left Brain-Stem
10	Right Brain-Stem
11	Left Hippocampus
12	Left Amygdala
13	Left Accumbens
14	Right Cerebral White Matter
15	Right Cerebral Cortex 
16	Right Lateral Ventricle
17	Right Thalamus
18	Right Caudate
19	Right Putamen
20	Right Pallidum
21	Right Hippocampus
22	Right Amygdala
23	Right Accumbens
