	Labels
1	L Aud
2	R Aud
3	Striate
4	L DMN
5	Med DMN
6	Front DMN
7	R DMN
8	Occ post
9	Motor
10	R DLPFC
11	R Front pol
12	R Par
13	R Post Temp
14	Basal
15	L Par
16	L DLPFC
17	L Front pol
18	L IPS
19	R IPS
20	L LOC
21	Vis
22	R LOC
23	D ACC
24	V ACC
25	R A Ins
26	L STS
27	R STS
28	L TPJ
29	Broca
30	Sup Front S
31	R TPJ
32	R Pars Op
33	Cereb
34	Dors PCC
35	L Ins
36	Cing
37	R Ins
38	L Ant IPS
39	R Ant IPS
